Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
easton pearson,Contemporary,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
st. john,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
strenesse gabriele strehle,Contemporary,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y-3 yohji yamamoto,Contemporary,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alice + olivia,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
armani jeans,Contemporary,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class roberto cavalli,Contemporary,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robert rodriguez,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
tory by trb,Contemporary,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy reese,Contemporary,18,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
m missoni,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
nicole miller,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
shoshanna,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vera wang,Contemporary,18,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
la perla,Contemporary,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vix,Contemporary,18,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
furla,Contemporary,18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rafe,Contemporary,18,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1
dior,Luxury,18,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
celine,Luxury,18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missoni,Luxury,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moschino,Luxury,18,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
oscar de la renta,Luxury,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yves saint laurent,Luxury,18,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
derek lam,Premium,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
prada sport,Premium,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
philosophy di alberta ferretti,Premium,18,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
nancy gonzalez,Premium,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
rene caovilla,Premium,18,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
agnona,Contemporary,17,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
dsquared2,Contemporary,17,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
jill stuart,Contemporary,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karl lagerfeld,Contemporary,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marc by marc jacobs,Contemporary,17,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
norma kamali,Contemporary,17,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
